"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"0001","日経平均株価（日経225）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","42566","10928283","2.31","90","6.96","0.83","559.59","4681.31","389500","100","20230920","4090","20230320","3370"
"1332","ニッスイ","東証PR","水産・農林","245539","312430277","2.54","20","11.38","1.02","69.08","767.47","78590","100","20231212","821","20230113","517"
"1333","マルハニチロ","東証PR","水産・農林","146476","50578837","2.42","70","7.9","0.75","366.69","3858.58","289600","100","20240126","2975","20230320","2333"
"1375","雪国まいたけ","東証PR","水産・農林","38075","39910700","0.21","2","48.77","3.54","19.56","269.23","95400","100","20230307","1057","20230821","867"
"1376","カネコ種苗","東証ST","水産・農林","16882","11772626","2.16","31","11.32","0.7","126.64","2057.93","143400","100","20230404","1709","20240112","1366"
"1377","サカタのタネ","東証PR","水産・農林","173760","47410750","1.5","55","20.32","1.1","180.39","3324.76","366500","100","20230926","4495","20240126","3650"
"1379","ホクト","東証PR","水産・農林","59212","33359040","-","-","80.35","1.12","22.09","1581.13","177500","100","20230131","1902","20231213","1708"
"1380","秋川牧園","東証ST","水産・農林","4367","4179000","0.96","10","43.56","2","23.99","522.33","104500","100","20230928","1094","20231220","1024"
"1381","アクシーズ","東証ST","水産・農林","16853","5617500","3.17","95","16.85","0.86","178.07","3480.41","300000","100","20230627","3270","20230217","2828"
"1382","ホーブ","東証ST","水産・農林","1791","762000","2.13","50","15.04","2.46","156.23","955.74","235000","100","20230912","4635","20230111","1664"
"1383","ベルグアース","東証ST","水産・農林","5492","1610500","0.29","10","70.73","2.68","48.21","1273.11","341000","100","20230403","3475","20230104","2886"
"1384","ホクリヨウ","東証ST","水産・農林","8865","8459000","3.82","40","5.7","0.74","183.95","1409.75","104800","100","20230925","1205","20230104","702"
"1401","エムビーエス","東証GR","建設","5211","7732000","1.19","8","13.52","1.5","49.86","450.14","67400","100","20240125","688","20230113","466"
"1407","ウエストホールディングス","東証ST","建設","152351","46027488","1.66","55","18.09","4.48","182.93","738.05","331000","100","20230113","4730","20230818","2324"
"1414","ショーボンドホールディングス","東証PR","建設","370603","56745180","1.96","128","25.81","3.57","253","1829.4","653100","100","20240117","6929","20230217","5170"
"1417","ミライト・ワン","東証PR","建設","197506","103325329","3.4","65","10.08","0.74","189.62","2591.99","191150","100","20230919","2058","20230213","1468"
"1418","インターライフホールディングス","東証ST","建設","4442","20010529","2.25","5","11.47","1","19.35","222.7","22200","100","20230417","318","20230316","159"
"1419","タマホーム","東証PR","建設","118707","29455800","4.59","185","12.7","3.71","317.37","1086.99","403000","100","20240111","4325","20230110","2422"
"1420","サンヨーホームズ","東証ST","建設","9591","12620000","3.29","25","17.59","0.61","43.21","1245.47","76000","100","20230127","790","20230412","701"
"1429","日本アクア","東証PR","建設","33474","34760000","3.12","30","16.54","3.43","58.23","280.5","96300","100","20230914","1125","20230117","774"
"1430","ファーストコーポレーション","東証ST","建設","10317","13363540","4.02","31","7.49","1.16","103.11","666.52","77200","100","20230509","963","20230718","690"
"1431","Lib_Work","東証GR","建設","17865","23292040","0.83","6.4","45.74","5.57","16.77","137.79","76700","100","20230417","839","20230106","748"
"1433","ベステラ","東証PR","建設","9611","8990200","1.87","20","48.57","2.5","22.01","427.26","106900","100","20230613","1341","20230314","851"
"1434","JESCOホールディングス","東証ST","建設","6164","6934100","3.37","30","5.08","1.12","175.02","791.79","88900","100","20240119","963","20230104","439"
"1435","Robot_Home","東証ST","不動産","15674","91127000","1.16","2","19.33","1.85","8.9","93.06","17200","100","20230414","258","20230106","158"
"1436","フィット","東証GR","建設","3663","4284200","1.4","12","9.68","0.72","88.33","1180.86","85500","100","20230411","1286","20230104","656"
"1438","岐阜造園","東証ST","建設","4932","3204600","1.95","30","16.38","1.4","93.94","1100.08","153900","100","20230921","1870","20230112","994"
"1439","安江工務店","東証ST","建設","1887","1351560","2.51","35","10.9","1.11","128.03","1261.56","139600","100","20230203","1796","20230314","942"
"1443","技研ホールディングス","東証ST","建設","3572","16237977","0.45","1","11.16","0.35","19.71","626.73","22000","100","20230130","313","20230105","203"
"1444","ニッソウ","東証GR","建設","3058","1088700","0","0","20.79","2","135.12","1401.8","280900","100","20240126","2845","20230130","1954"
"1446","キャンディル","東証ST","建設","6280","10734200","1.37","8","23.41","1.99","24.99","293.98","58500","100","20230904","649","20230130","492"
"1447","ITbookホールディングス","東証GR","建設","7729","24152701","0","0","15.44","3.26","20.72","98.08","32000","100","20230221","436","20231228","233"
"1450","田中建設工業","東証ST","建設","9817","4349800","3.23","73","10.39","1.58","217.27","1432.13","225700","100","20230329","2780","20231225","1905"
"1451","KHC","東証ST","建設","3012","4005350","4.65","35","9.76","0.48","77.08","1574.79","75200","100","20240111","780","20230106","603"
"1491","中外鉱業","東証ST","非鉄金属","8692","289747982","-","-","19.23","1.19","1.56","25.17","3000","100","20230512","36","20230104","28"
"1514","住石ホールディングス","東証ST","鉱業","104829","58892853","1.12","20","16.35","3.69","108.85","482.98","178000","100","20240116","1977","20230403","303"
"1515","日鉄鉱業","東証PR","鉱業","86363","16704638","3.27","169","12.29","0.62","420.76","8327.95","517000","100","20231129","5730","20230105","3130"
"1518","三井松島ホールディングス","東証PR","鉱業","37064","13064400","2.82","80","3.03","0.56","937.52","5043.25","283700","100","20230221","4105","20230619","2475"
"1605","INPEX","東証PR","鉱業","2751841","1386667167","3.73","74","7.61","0.59","260.88","3351.88","198450","100","20230928","2368","20230105","1301"
"1662","石油資源開発","東証PR","鉱業","326886","54300076","4.15","250","7.25","0.68","829.81","8890.78","602000","100","20240126","6190","20230105","3590"
"1663","K＆Oエナジーグループ","東証PR","鉱業","64465","28336061","1.67","38","10.62","0.68","214.12","3325.1","227500","100","20230929","2737","20230106","1887"
"1711","SDSホールディングス","東証ST","建設","3694","8732773","0","0","-","7.13","-13.74","59.32","42300","100","20240125","425","20231016","215"
"1712","ダイセキ環境ソリューション","東証ST","建設","18375","16827120","1.1","12","10.34","1.13","105.58","963.06","109200","100","20230714","1445","20230407","793"
"1716","第一カッター興業","東証ST","建設","17052","12000000","2.46","35","8.59","0.95","165.52","1489.85","142100","100","20230725","1458","20230116","1000"
"1717","明豊ファシリティワークス","東証ST","サービス","11204","12775900","3.88","34","14.18","2.17","61.86","403.24","87700","100","20240125","882","20230116","690"
"1718","美樹工業","東証ST","建設","5599","1153263","3.3","160","7.58","0.35","640.34","13828.84","485500","100","20240122","4925","20230117","3800"
"1719","安藤・間","東証PR","建設","209442","181021197","5.19","60","13.32","1.27","86.89","913.98","115700","100","20230920","1279","20230106","819"
"1720","東急建設","東証PR","建設","87437","106761205","4.4","36","15.12","0.9","54.17","914.5","81900","100","20230920","850","20230105","624"
"1721","コムシスホールディングス","東証PR","建設","426265","133000000","3.28","105","16.79","1.12","190.86","2874.07","320500","100","20240112","3393","20230104","2277"
"1723","日本電技","東証ST","建設","40209","8197500","3.26","160","11.88","1.25","412.85","3926.22","490500","100","20240126","4940","20230104","3090"
"1724","シンクレイヤ","東証ST","建設","3317","4943780","2.53","17","9.88","0.57","67.9","1172.35","67100","100","20230125","740","20230106","578"
