"SC","名称","決算期","決算発表日（本決算）","売上高（百万円）","営業利益（百万円）","経常利益（百万円）","当期利益（百万円）","総資産（百万円）","自己資本（百万円）","資本金（百万円）","有利子負債（百万円）","自己資本比率","ROE","ROA","発行済株式数"
"1301","極洋","202303","20230512","272167","8105","8182","5782","146301","47541","5664","68599","32.5","12.81","4.18","10928283"
"1332","ニッスイ","202303","20230512","768181","24488","27776","21233","549013","216843","30685","205534","39.5","10.44","4.03","312430277"
"1333","マルハニチロ","202303","20230508","1020456","29575","33500","18596","637227","178312","20000","301138","28","10.99","3.14","50578837"
"1375","雪国まいたけ","202303","20230511","42204","2191","1794","1181","33304","10409","100","17579","31.3","11.31","3.4","39910700"
"1376","カネコ種苗","202305","20230711","62179","1785","1913","1426","46707","23513","1491","-","50.3","6.18","2.98","11772626"
"1377","サカタのタネ","202305","20230714","77263","10918","12304","9489","160715","137679","13500","1465","85.7","7.22","6.16","47410750"
"1379","ホクト","202303","20230512","72980","-2948","-1854","-2037","104897","50955","5500","39700","48.6","-3.86","-1.94","33359040"
"1380","秋川牧園","202303","20230511","7070","19","242","156","6073","2135","714","2471","35.2","7.49","2.67","4179000"
"1381","アクシーズ","202306","20230810","24101","1911","1977","1410","22636","19750","452","35","87.3","7.32","6.4","5617500"
"1382","ホーブ","202306","20230809","2489","135","138","110","1108","787","421","11","71","14.61","10.05","762000"
"1383","ベルグアース","202310","20231213","7061","76","106","78","5672","2034","724","2070","35.9","4.27","1.33","1610500"
"1384","ホクリヨウ","202303","20230512","17823","1318","1383","745","16849","10746","1055","2259","63.8","7.13","4.6","8459000"
"1401","エムビーエス","202305","20230714","4004","432","468","322","4131","3224","391","-","78","10.38","8.08","7732000"
"1407","ウエストホールディングス","202308","20231013","43734","8499","7972","6016","123802","31388","2020","78254","25.4","20.42","5.34","46027488"
"1414","ショーボンドホールディングス","202306","20230810","83924","18124","18637","12887","122280","98016","5000","-","80.2","13.41","10.75","56745180"
"1417","ミライト・ワン","202303","20230515","483987","21803","22384","14781","436752","246818","7000","51516","56.5","6.05","3.4","103325329"
"1418","インターライフホールディングス","202302","20230413","11460","168","177","179","7298","3280","2979","1325","44.9","4.97","2.41","20010529"
"1419","タマホーム","202305","20230711","256065","13264","13477","8715","111508","34876","4310","18446","31.3","26.51","8.05","29455800"
"1420","サンヨーホームズ","202303","20230512","40970","-149","-191","-245","49913","14517","5945","21742","29.1","-1.66","-0.51","12620000"
"1429","日本アクア","202212","20230210","25670","2329","2359","1549","21969","7966","1903","6033","36.3","19.46","7.7","34760000"
"1430","ファーストコーポレーション","202305","20230714","25543","1983","1979","1364","21466","7919","730","3940","36.9","17.22","6.35","13363540"
"1431","Lib_Work","202306","20230810","14183","299","314","173","8855","3315","1014","2967","37.4","5.15","2.1","23292040"
"1433","ベステラ","202301","20230310","5458","-215","-94","-64","8427","4370","843","2426","51.9","-1.47","-0.73","8990200"
"1434","JESCOホールディングス","202308","20231013","11104","425","505","1182","16771","5609","1027","5671","33.4","23.58","7.82","6926200"
"1435","Robot_Home","202212","20230214","5421","645","664","719","10753","7879","10","570","73.3","9.35","6.96","91127000"
"1436","フィット","202304","20230612","8853","530","515","323","10302","4751","980","3737","46.1","7.01","3.07","4284200"
"1438","岐阜造園","202309","20231110","5002","390","398","298","4695","3525","396","218","75.1","8.78","6.5","3204600"
"1439","安江工務店","202212","20230210","7046","226","232","135","4243","1570","256","1341","37","8.92","3.21","1351560"
"1443","技研ホールディングス","202303","20230519","5480","414","517","329","15725","9535","1120","4119","60.6","3.39","2.08","16237977"
"1444","ニッソウ","202307","20230914","4166","148","142","69","2491","1479","349","511","59.4","4.67","2.77","1088700"
"1446","キャンディル","202309","20231114","12309","452","441","224","6225","2706","561","1736","43.5","8.58","3.53","10734200"
