"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経平均株価（日経225）","東証","株価指数","20240126","35751.07","-485.4","-1.34","36236.47","36003","36060.4","35687.58","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","20240126","2497.65","-34.27","-1.35","2531.92","2519.39","2520.89","2496.27","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","20240126","3895","-25","-0.64","3920","3915","3915","3890","3899.56","14700","0.13","57324","42566","3220","4620","20230920","4090","4.77","20230320","3370","15.58"
"1332","ニッスイ","東証PR","水産・農林","20240126","785.9","-6.4","-0.81","792.3","790.1","790.9","780","785.03","800100","0.26","628100","245539","642.3","942.3","20231212","821","4.28","20230113","517","52.01"
"1333","マルハニチロ","東証PR","水産・農林","20240126","2896","-57.5","-1.95","2953.5","2961","2975","2896","2922","175600","0.35","513103","146476","2453.5","3454","20240126","2975","2.66","20230320","2333","24.13"
"1375","雪国まいたけ","東証PR","水産・農林","20240126","954","-2","-0.21","956","956","958","953","955.64","55500","0.14","53038","38075","806","1106","20230307","1057","9.74","20230821","867","10.03"
"1376","カネコ種苗","東証ST","水産・農林","20240126","1434","-12","-0.83","1446","1440","1441","1415","1429.13","33600","0.29","48019","16882","1146","1746","20230404","1709","16.09","20240112","1366","4.98"
"1377","サカタのタネ","東証PR","水産・農林","20240126","3665","-50","-1.35","3715","3700","3700","3650","3672.18","197400","0.42","724889","173760","3015","4415","20230926","4495","18.46","20240126","3650","0.41"
"1379","ホクト","東証PR","水産・農林","20240126","1775","-3","-0.17","1778","1781","1784","1775","1778.71","58600","0.18","104232","59212","1378","2178","20230131","1902","6.68","20231213","1708","3.92"
"1380","秋川牧園","東証ST","水産・農林","20240126","1045","-2","-0.19","1047","1050","1050","1045","1048.64","1400","0.03","1468","4367","747","1347","20230928","1094","4.48","20231220","1024","2.05"
"1381","アクシーズ","東証ST","水産・農林","20240126","3000","1","0.03","2999","2999","3000","2980","2991.97","3800","0.07","11370","16853","2499","3500","20230627","3270","8.26","20230217","2828","6.08"
"1382","ホーブ","東証ST","水産・農林","20240126","2350","45","1.95","2305","2331","2376","2306","2344.49","9800","1.29","22976","1791","1805","2805","20230912","4635","49.3","20230111","1664","41.23"
"1383","ベルグアース","東証ST","水産・農林","20240126","3410","5","0.15","3405","3405","3410","3395","3403.57","1400","0.09","4765","5492","2705","4105","20230403","3475","1.87","20230104","2886","18.16"
"1384","ホクリヨウ","東証ST","水産・農林","20240126","1048","6","0.58","1042","1049","1058","1042","1050.11","22700","0.27","23838","8865","742","1342","20230925","1205","13.03","20230104","702","49.29"
"1401","エムビーエス","東証GR","建設","20240126","674","-1","-0.15","675","685","688","668","677.14","20300","0.26","13746","5211","575","775","20240125","688","2.03","20230113","466","44.64"
"1407","ウエストホールディングス","東証ST","建設","20240126","3310","50","1.53","3260","3245","3365","3225","3311.9","275000","0.6","910773","152351","2560","3960","20230113","4730","30.02","20230818","2324","42.43"
"1414","ショーボンドホールディングス","東証PR","建設","20240126","6531","-133","-2","6664","6597","6628","6531","6571.23","90800","0.16","596668","370603","5664","7664","20240117","6929","5.74","20230217","5170","26.32"
"1417","ミライト・ワン","東証PR","建設","20240126","1911.5","-9.5","-0.49","1921","1919","1927","1905","1914.98","234300","0.23","448680","197506","1521","2321","20230919","2058","7.12","20230213","1468","30.21"
"1418","インターライフホールディングス","東証ST","建設","20240126","222","-4","-1.77","226","224","226","221","223.1","123700","0.62","27597","4442","146","306","20230417","318","30.19","20230316","159","39.62"
"1419","タマホーム","東証PR","建設","20240126","4030","-100","-2.42","4130","4090","4110","4030","4059.75","259500","0.88","1053505","118707","3430","4830","20240111","4325","6.82","20230110","2422","66.39"
"1420","サンヨーホームズ","東証ST","建設","20240126","760","5","0.66","755","759","767","758","760.83","8600","0.07","6543","9591","605","905","20230127","790","3.8","20230412","701","8.42"
"1429","日本アクア","東証PR","建設","20240126","963","-18","-1.83","981","979","979","961","968.04","155200","0.45","150240","33474","831","1131","20230914","1125","14.4","20230117","774","24.42"
"1430","ファーストコーポレーション","東証ST","建設","20240126","772","6","0.78","766","768","779","767","773.97","39800","0.3","30804","10317","616","916","20230509","963","19.83","20230718","690","11.88"
"1431","Lib_Work","東証GR","建設","20240126","767","-3","-0.39","770","770","770","767","768.87","7500","0.03","5767","17865","620","920","20230417","839","8.58","20230106","748","2.54"
"1433","ベステラ","東証PR","建設","20240126","1069","-2","-0.19","1071","1071","1079","1065","1070.04","85600","0.95","91596","9611","771","1371","20230613","1341","20.28","20230314","851","25.62"
"1434","JESCOホールディングス","東証ST","建設","20240126","889","-11","-1.22","900","898","910","885","896.24","40400","0.58","36208","6164","750","1050","20240119","963","7.68","20230104","439","102.51"
"1435","Robot_Home","東証ST","不動産","20240126","172","-2","-1.15","174","173","175","172","173.31","100700","0.11","17452","15674","124","224","20230414","258","33.33","20230106","158","8.86"
"1436","フィット","東証GR","建設","20240126","855","10","1.18","845","855","855","845","852.3","2700","0.06","2301","3663","695","995","20230411","1286","33.51","20230104","656","30.34"
"1438","岐阜造園","東証ST","建設","20240126","1539","0","0","1539","1539","1539","1539","1539","100","0","154","4932","1139","1939","20230921","1870","17.7","20230112","994","54.83"
"1439","安江工務店","東証ST","建設","20240126","1396","50","3.71","1346","1448","1448","1368","1412.3","18500","1.37","26128","1887","1046","1646","20230203","1796","22.27","20230314","942","48.2"
"1443","技研ホールディングス","東証ST","建設","20240126","220","-2","-0.9","222","220","224","220","220.53","179300","1.1","39541","3572","142","302","20230130","313","29.71","20230105","203","8.37"
"1444","ニッソウ","東証GR","建設","20240126","2809","19","0.68","2790","2840","2845","2795","2817.74","7200","0.66","20288","3058","2290","3290","20240126","2845","1.27","20230130","1954","43.76"
"1446","キャンディル","東証ST","建設","20240126","585","-1","-0.17","586","586","589","585","585.8","4100","0.04","2402","6280","486","686","20230904","649","9.86","20230130","492","18.9"
"1447","ITbookホールディングス","東証GR","建設","20240126","320","-15","-4.48","335","333","338","316","323.52","804000","3.33","260111","7729","255","415","20230221","436","26.61","20231228","233","37.34"
"1450","田中建設工業","東証ST","建設","20240126","2257","54","2.45","2203","2201","2300","2200","2233.36","4400","0.1","9827","9817","1703","2703","20230329","2780","18.81","20231225","1905","18.48"
"1451","KHC","東証ST","建設","20240126","752","-8","-1.05","760","760","763","750","756.25","11000","0.27","8319","3012","610","910","20240111","780","3.59","20230106","603","24.71"
"1491","中外鉱業","東証ST","非鉄金属","20240126","30","0","0","30","30","30","29","29.78","553000","0.19","16469","8692","1","60","20230512","36","16.67","20230104","28","7.14"
"1514","住石ホールディングス","東証ST","鉱業","20240126","1780","-48","-2.63","1828","1836","1880","1765","1825.81","2522300","4.28","4605250","104829","1428","2228","20240116","1977","9.96","20230403","303","487.46"
"1515","日鉄鉱業","東証PR","鉱業","20240126","5170","-80","-1.52","5250","5240","5250","5160","5205.19","25800","0.15","134294","86363","4250","6250","20231129","5730","9.77","20230105","3130","65.18"
"1518","三井松島ホールディングス","東証PR","鉱業","20240126","2837","8","0.28","2829","2824","2842","2811","2831.41","210000","1.61","594596","37064","2329","3330","20230221","4105","30.89","20230619","2475","14.63"
"1605","INPEX","東証PR","鉱業","20240126","1984.5","-4.5","-0.23","1989","2025","2041","1983.5","2006.99","7626000","0.55","15305308","2751841","1589","2389","20230928","2368","16.2","20230105","1301","52.54"
"1662","石油資源開発","東証PR","鉱業","20240126","6020","10","0.17","6010","6110","6190","6020","6088.77","353500","0.65","2152379","326886","5010","7010","20240126","6190","2.75","20230105","3590","67.69"
"1663","K＆Oエナジーグループ","東証PR","鉱業","20240126","2275","-8","-0.35","2283","2285","2294","2271","2279.22","52300","0.18","119203","64465","1783","2783","20230929","2737","16.88","20230106","1887","20.56"
"1711","SDSホールディングス","東証ST","建設","20240126","423","6","1.44","417","421","424","411","417.54","155600","1.78","64970","3694","337","497","20240125","425","0.47","20231016","215","96.74"
"1712","ダイセキ環境ソリューション","東証ST","建設","20240126","1092","3","0.28","1089","1084","1098","1079","1086.84","162600","0.97","176721","18375","789","1389","20230714","1445","24.43","20230407","793","37.7"
"1716","第一カッター興業","東証ST","建設","20240126","1421","-4","-0.28","1425","1430","1430","1414","1426.07","16100","0.13","22960","17052","1125","1725","20230725","1458","2.54","20230116","1000","42.1"
"1717","明豊ファシリティワークス","東証ST","サービス","20240126","877","8","0.92","869","870","880","870","874.08","35800","0.28","31292","11204","719","1019","20240125","882","0.57","20230116","690","27.1"
"1718","美樹工業","東証ST","建設","20240126","4855","-35","-0.72","4890","4870","4880","4840","4859.12","1700","0.15","8261","5599","4190","5590","20240122","4925","1.42","20230117","3800","27.76"
